X,Y
0.110313201,NaN,+Inf
0.20027419,NaN,+Inf
0.300130981,NaN,+Inf
0.403203685,NaN,+Inf
0.500150408,NaN,+Inf
0.60139364,NaN,+Inf
0.702229772,NaN,+Inf
0.800371106,+Inf,+Inf
0.906713369,+Inf,+Inf
1.000758005,+Inf,+Inf
1.100532799,+Inf,+Inf
1.200639759,+Inf,+Inf
1.301906728,+Inf,+Inf
1.403177654,+Inf,+Inf
1.500993241,+Inf,+Inf
1.60143123,+Inf,+Inf
1.700536478,+Inf,+Inf
1.8010285339999998,+Inf,+Inf
1.900513259,+Inf,+Inf
2.000126977,+Inf,+Inf
2.104027556,+Inf,+Inf
2.200470522,+Inf,+Inf
2.300135688,+Inf,+Inf
2.400130365,+Inf,+Inf
2.500112775,+Inf,+Inf
2.602110724,+Inf,+Inf
2.7001199,+Inf,+Inf
2.805177947,+Inf,+Inf
2.90047292,+Inf,+Inf
3.000341817,+Inf,+Inf
3.100618653,+Inf,+Inf
3.2004598,+Inf,+Inf
3.3001181969999998,+Inf,+Inf
3.403687301,+Inf,+Inf
3.500089032,+Inf,+Inf
3.600369635,+Inf,+Inf
3.701711716,+Inf,+Inf
3.8004871,+Inf,+Inf
3.901074232,+Inf,+Inf
4.000352019,+Inf,+Inf
4.10250381,+Inf,+Inf
4.200392338,+Inf,+Inf
4.300562615,+Inf,+Inf
4.40056639,+Inf,+Inf
4.500130639,+Inf,+Inf
4.600364909,+Inf,+Inf
4.70078082,+Inf,+Inf
4.8003601,+Inf,+Inf
4.904604123,+Inf,+Inf
5.000714152,+Inf,+Inf
5.100820923,+Inf,+Inf
5.205313175,+Inf,+Inf
5.303411439,+Inf,+Inf
5.404137166,+Inf,+Inf
5.500417544,+Inf,+Inf
5.6004173250000004,+Inf,+Inf
5.700585299,+Inf,+Inf
5.800375833,+Inf,+Inf
5.9002103,+Inf,+Inf
6.000211837,+Inf,+Inf
6.100369768,+Inf,+Inf
6.201757758,+Inf,+Inf
6.300135648,+Inf,+Inf
6.400218645,+Inf,+Inf
6.500156638,+Inf,+Inf
6.600945191,+Inf,+Inf
6.700605595,+Inf,+Inf
6.801550508,+Inf,+Inf
6.900167607,+Inf,+Inf
7.000157472,+Inf,+Inf
7.100181698,+Inf,+Inf
7.200280442,+Inf,+Inf
7.302762802,+Inf,+Inf
7.400744598,+Inf,+Inf
7.502943733,+Inf,+Inf
7.600443803,+Inf,+Inf
7.700206138,+Inf,+Inf
7.800914822,+Inf,+Inf
7.900752783,+Inf,+Inf
8.002488416,+Inf,+Inf
8.100899938,+Inf,+Inf
8.20500614,+Inf,+Inf
8.301001994,+Inf,+Inf
8.400939837,+Inf,+Inf
8.500115623,+Inf,+Inf
8.60029307,+Inf,+Inf
8.70361794,+Inf,+Inf
8.8026363,+Inf,+Inf
8.90360018,+Inf,+Inf
9.001056878,+Inf,+Inf
9.100654853,+Inf,+Inf
9.200588261,+Inf,+Inf
9.300313552,+Inf,+Inf
9.401007218,+Inf,+Inf
9.502170135,+Inf,+Inf
9.602333884,+Inf,+Inf
9.7056345,+Inf,+Inf
9.802161173,+Inf,+Inf
9.903983724,+Inf,+Inf
10.001868388,+Inf,+Inf
10.103742944,+Inf,+Inf
10.202411924,+Inf,+Inf
10.30022806,+Inf,+Inf
10.401002963,+Inf,+Inf
10.500479348,+Inf,+Inf
10.603470893,+Inf,+Inf
10.703088584,+Inf,+Inf
10.800971331,+Inf,+Inf
10.901181583,+Inf,+Inf
11.00014341,+Inf,+Inf
11.100363776,+Inf,+Inf
11.20016438,+Inf,+Inf
11.300514073,+Inf,+Inf
11.400128135,+Inf,+Inf
11.500868125,+Inf,+Inf
11.600461808,+Inf,+Inf
11.700345255,+Inf,+Inf
11.802828093,+Inf,+Inf
11.900341313,+Inf,+Inf
12.002380345,+Inf,+Inf
12.100093778,+Inf,+Inf
12.20051855,+Inf,+Inf
12.300208562,+Inf,+Inf
12.400264878,+Inf,+Inf
12.500185872,+Inf,+Inf
12.601061378,+Inf,+Inf
12.701385502,+Inf,+Inf
12.805086415,+Inf,+Inf
12.900686671999999,+Inf,+Inf
13.00015034,+Inf,+Inf
13.101052511,+Inf,+Inf
13.200487122,+Inf,+Inf
13.300421784,+Inf,+Inf
13.400143309,+Inf,+Inf
13.500289374,+Inf,+Inf
13.604885148,+Inf,+Inf
13.702667174,+Inf,+Inf
13.804154462,+Inf,+Inf
13.900577098,+Inf,+Inf
14.003450178,+Inf,+Inf
14.103707482,+Inf,+Inf
14.20396091,+Inf,+Inf
14.301631311,+Inf,+Inf
14.404505363,+Inf,+Inf
14.506954968,+Inf,+Inf
14.605028404,+Inf,+Inf
14.700939524,+Inf,+Inf
14.800256344,+Inf,+Inf
14.901537493,+Inf,+Inf
15.000538249,+Inf,+Inf
15.103447664,+Inf,+Inf
15.204032044,+Inf,+Inf
15.303012341,+Inf,+Inf
15.402903182,+Inf,+Inf
15.502984271,+Inf,+Inf
15.600589068,+Inf,+Inf
15.700338022,+Inf,+Inf
15.803460089,+Inf,+Inf
15.901998279,+Inf,+Inf
16.002033996,+Inf,+Inf
16.101893135,+Inf,+Inf
16.201777829,+Inf,+Inf
16.302618598,+Inf,+Inf
16.40313851,+Inf,+Inf
16.502481734,+Inf,+Inf
16.603569684,+Inf,+Inf
16.703162521,+Inf,+Inf
16.804092802,+Inf,+Inf
16.906302636,+Inf,+Inf
17.005210242,+Inf,+Inf
17.104273595,+Inf,+Inf
17.20429102,+Inf,+Inf
17.304517723,+Inf,+Inf
17.404884755,+Inf,+Inf
17.505207374,+Inf,+Inf
17.600439505,+Inf,+Inf
17.702274696,+Inf,+Inf
17.80018921,+Inf,+Inf
17.903816856,+Inf,+Inf
18.005264892,+Inf,+Inf
18.101449734,+Inf,+Inf
18.203833264,+Inf,+Inf
18.30012784,+Inf,+Inf
18.40228123,+Inf,+Inf
18.504479318,+Inf,+Inf
18.603584992000002,+Inf,+Inf
18.705296531,+Inf,+Inf
18.800506082,+Inf,+Inf
18.90436717,+Inf,+Inf
19.000140511,+Inf,+Inf
19.100542374,+Inf,+Inf
19.200922877,+Inf,+Inf
19.303877274,+Inf,+Inf
19.403396087,+Inf,+Inf
19.501576136,+Inf,+Inf
19.600782936999998,+Inf,+Inf
19.704054379,+Inf,+Inf
19.802032082,+Inf,+Inf
19.904228021,+Inf,+Inf
20.002826107,+Inf,+Inf
20.103498658,+Inf,+Inf
20.203349909,+Inf,+Inf
20.304638212,+Inf,+Inf
20.404022097,+Inf,+Inf
20.501622709,+Inf,+Inf
20.600874294,+Inf,+Inf
20.702320112,+Inf,+Inf
20.803843619,+Inf,+Inf
20.903650664,+Inf,+Inf
21.004353119,+Inf,+Inf
21.100679174,+Inf,+Inf
21.201727692,+Inf,+Inf
21.303610285,+Inf,+Inf
21.400414677,+Inf,+Inf
21.501276979,+Inf,+Inf
21.600435665,+Inf,+Inf
21.701287733,+Inf,+Inf
21.801134066,+Inf,+Inf
21.903366897,+Inf,+Inf
22.001823757,+Inf,+Inf
22.101591701,+Inf,+Inf
22.202709214,+Inf,+Inf
22.303178654,+Inf,+Inf
22.401832876,+Inf,+Inf
22.501950617,+Inf,+Inf
22.601477167,+Inf,+Inf
22.703227925,+Inf,+Inf
22.801047164,+Inf,+Inf
22.904472074,+Inf,+Inf
23.00069967,+Inf,+Inf
23.103391708,+Inf,+Inf
23.200184191,+Inf,+Inf
23.303920714,+Inf,+Inf
23.404348378999998,+Inf,+Inf
23.504442131,+Inf,+Inf
23.604771065,+Inf,+Inf
23.705032323,+Inf,+Inf
