ID,OUT,ACC,REJ,IN,DROP
6bc5c50a988cb55f,10,9,1,10,7
285eb1ccac7be0d9,24,11,13,24,12
dddbf6bd1694958f,9,6,3,9,6
51d3d8bed4d26b00,12,10,2,12,7
d3014652c67d10ac,16,13,3,16,13
1db8016f69e2f804,9,8,1,9,5
4baa15073564e1d0,9,7,2,9,7
9bbc3c1cb254edb1,12,11,1,12,6
a5c5695f12c582eb,13,10,3,13,5
eda4b0e3d6f250ac,18,12,6,18,10
da8c997d634c7354,14,11,3,14,14
cd28bbd57f95ca72,14,10,4,14,8
b1bc2cc40f7df763,6,6,0,6,1
6aea9597804b699e,5,5,0,5,0
423accc1125535b8,7,6,1,7,3
b6465fa71e4731c1,11,8,3,11,4
0fac05c0890c6ce4,10,7,3,10,3
a5a62214360620ed,6,5,1,6,0
73462334c699af7b,6,5,1,6,0
eff8d019a866e8d4,7,6,1,7,1
c1b95538af77ea99,7,6,1,7,2
da787a338cc11316,9,6,3,9,2
ab9f0431f77c5270,7,6,1,7,4
7ee1f07d5542ff84,8,8,0,8,5
c99eeeb89cfe530a,8,7,1,8,5
0eab27702380de70,10,9,1,10,8
0217cd720e65b30b,13,9,4,13,6
b73c145d1e1b5fa5,9,7,2,9,4
bd2cca85159f1f06,10,7,3,10,4
b58cf8aeef614651,8,7,1,8,7
239c019731fb127c,11,9,2,11,8
9fc7eda68989cc44,12,7,5,12,5
c3369a30ef2f79e6,8,8,0,8,3
2966c2bb8af2b166,10,8,2,10,6
2832380d53e7a97c,7,7,0,7,6
d501ba2e8def4a60,6,6,0,6,2
25bf84dd7520632d,11,10,1,11,9
727ec88e914a003a,13,9,4,13,5
c4d0a090b3041cc4,18,13,5,18,11
c3b1d7447fb0ff29,14,10,4,14,6
9c0ce379ec4ed836,7,6,1,7,4
b59a5edf4d0d321e,5,5,0,5,1
033452de0adc3c60,17,12,5,17,9
38702d7c1992ed33,8,7,1,8,5
5cfb8cf41d9bf4fc,9,8,1,9,10
ce246771d7219ee8,9,7,2,9,8
4b2c2995bab04fb4,11,8,3,11,4
c81444ac890e4375,10,9,1,10,8
26120bcafa7374a7,18,13,5,18,11
40c22b7dc1247e78,9,8,1,9,8
5e0ef8e17c4313bd,10,8,2,10,8
193ad6c2670c7f21,21,11,10,21,10
e9b97f62e82800f0,14,10,4,14,11
6dd33a3f75d36983,10,9,1,10,7
06a39808f11574a2,24,10,14,24,11
13f50fafb1458065,15,12,3,15,13
fc04f9f2df08f2e1,18,13,5,18,11
2d0fe882404298cc,17,9,8,17,7
6f4b63fef566d471,12,9,3,12,8
b0137e18c68dfb59,16,11,5,16,7
a5cabcb82d1fc11d,30,14,16,30,14
d5ff6d1dec82fe10,13,9,4,13,9
4fa6e7997b8c662f,17,12,5,17,12
f72a9ceddae41ee3,10,8,2,10,7
40f065a432aa6282,21,12,9,21,13
c5aca77322dec985,15,9,6,15,8
6a4e6cc9394a7f6b,7,6,1,7,7
f63d8445922a9d92,18,12,6,18,13
79b070107d4e1455,14,8,6,14,12
c4c0e0f95f95083a,10,9,1,10,7
513358df968b1504,16,10,6,16,9
863f597bb24c52dc,6,5,1,6,7
8a0e756c9fd829b3,18,12,6,18,14
27f3eeae493ee834,12,11,1,12,8
c3653e747b26e2b9,13,9,4,13,6
49846e83fe57c6aa,15,11,4,15,11
c8d163caca6734d2,16,10,6,16,8
af0aced75d450a1d,18,13,5,18,12
f40afc71e662b54b,14,9,5,14,10
c3d01e345bfe400d,11,7,4,11,7
7895f7c38bec37ad,14,9,5,14,10
d9a9d19c397fdf2d,20,10,10,20,8
d0618bb11495baf5,17,11,6,17,10
3196c468c7ae503a,12,10,2,12,10
4c7c50b59328c991,10,9,1,10,9
f03c1d8fcfd48ac7,21,10,11,21,11
8e25c70ba4e0ed45,19,10,9,19,6
28f618106fa25726,10,9,1,10,9
dec77c94af66cb63,15,11,4,15,10
4e0096f2c37bee1c,17,11,6,17,11
84280e2222626eb5,14,10,4,14,8
bee2ca184a7b782b,11,8,3,11,11
f370044201f2a7ed,25,11,14,25,11
be28d5b00f00ee85,16,10,6,16,8
d1e6755cb86f2927,12,9,3,12,8
5c8557c0283cfe43,15,11,4,15,10
c12b1f7993740403,19,7,12,19,7
164bece28100057c,19,12,7,19,12
45423bcf1ac3199c,19,10,9,19,6
acf4cf5c02160e6c,10,8,2,10,9
d3413ab248d09986,26,14,12,26,11
f15cef10be5d926d,20,10,10,20,16
5260bfa487366caa,16,11,5,16,12
6671bd5ba8a7b42c,14,8,6,14,7
afd9f5d7a07a7efb,21,11,10,21,10
95a438212d3a4daf,20,11,9,20,10
404bdc13bea13c1f,21,14,7,21,14
36e921782011f965,21,12,9,21,14
29143cc7d4fae285,8,8,0,8,9
7945e33061dfc85d,11,7,4,11,10
9a86f8c613ab9be0,15,10,5,15,11
d16c0ad57534795c,10,7,3,10,9
4b31e4af175bdf6f,8,8,0,8,11
3e959ad4210e832e,12,10,2,12,14
5d02a8399cc77681,14,8,6,14,8
c547b3940c0a5733,13,10,3,13,11
049207f1cd5b3fa8,10,8,2,10,8
